"Specimen width",5.97,"mm"
"Specimen thickness",4.53,"mm"
"Parallel specimen length",27,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.110541
-2.72654e-05,0.101046
-2.72654e-05,0.0897277
-5.44284e-05,0.0972083
0.00303905,0.101618
0.0135485,0.109804
0.0237872,0.123064
0.0344836,0.12308
0.0445086,0.131247
0.0563037,0.153815
0.0690753,0.178915
0.0794665,0.194113
0.0907428,0.208853
0.102538,0.219824
0.115477,0.227114
0.129527,0.246942
0.143962,0.264322
0.153972,0.273736
0.164714,0.293268
0.175334,0.308771
0.185863,0.327875
0.197246,0.343469
0.20869,0.358026
0.220653,0.360948
0.233073,0.369676
0.245799,0.379991
0.258403,0.400865
0.27122,0.416978
0.285197,0.444261
0.299144,0.470811
0.31364,0.490251
0.328014,0.496271
0.34312,0.51394
0.35905,0.532129
0.374919,0.543512
0.391093,0.551752
0.406963,0.572626
0.422954,0.60058
0.439555,0.612726
0.456523,0.631662
0.473857,0.659555
0.490581,0.685068
0.507121,0.690881
0.523052,0.715906
0.539531,0.747278
0.555156,0.773157
0.57133,0.794641
0.588054,0.817529
0.605205,0.837976
0.623393,0.855859
0.640788,0.879297
0.657024,0.899194
0.673625,0.934228
0.690471,0.966699
0.707011,0.985467
0.72404,1.01641
0.73997,1.04339
0.755046,1.07128
0.771037,1.0906
0.787822,1.12734
0.804973,1.13426
0.822124,1.15059
0.839824,1.17219
0.85612,1.18467
0.8726,1.19383
0.889873,1.21824
0.907451,1.23759
0.924175,1.23758
0.940715,1.26944
0.956798,1.29532
0.972392,1.31595
0.988322,1.345
1.00505,1.37845
1.02238,1.39737
1.03947,1.41037
1.05693,1.42254
1.07402,1.43539
1.09019,1.45205
1.10655,1.46679
1.12339,1.48755
1.1403,1.51611
1.15672,1.54278
1.17338,1.56259
1.18925,1.58066
1.20524,1.60406
1.22154,1.62707
1.23844,1.64117
1.25566,1.65127
1.27311,1.66783
1.29081,1.67843
1.30741,1.68125
1.32334,1.69025
1.33946,1.7067
1.35624,1.73004
1.37272,1.74957
1.38914,1.77472
1.40525,1.80041
1.42149,1.82428
1.4384,1.8361
1.45585,1.85893
1.47312,1.8781
1.48997,1.89754
1.50718,1.9069
1.52366,1.92615
1.54002,1.93546
1.55662,1.94423
1.57359,1.96449
1.59013,1.98481
1.6063,2.00941
1.62291,2.03608
1.6389,2.05446
1.65525,2.06344
1.67216,2.09121
1.68931,2.11154
1.70634,2.12753
1.72367,2.14398
1.74021,2.16858
1.75651,2.18228
1.77281,2.19363
1.78959,2.20776
1.8065,2.22992
1.8228,2.24539
1.83988,2.26376
1.856,2.28494
1.87242,2.31045
1.88896,2.32266
1.90574,2.33862
1.92277,2.34599
1.93962,2.35697
1.95671,2.36402
1.97288,2.38465
1.98948,2.40546
2.00608,2.43116
2.02323,2.44739
2.0402,2.46058
2.05705,2.48114
2.07334,2.49347
2.08952,2.50418
2.10545,2.52209
2.12199,2.54431
2.1389,2.55195
2.15593,2.56154
2.17338,2.58112
2.19004,2.59974
2.20658,2.61652
2.223,2.63697
2.24015,2.66138
2.25706,2.67725
2.27311,2.68802
2.28953,2.70441
2.30552,2.72791
2.32151,2.74628
2.33805,2.76618
2.35539,2.78821
2.3726,2.79996
2.39024,2.82279
2.40708,2.82398
2.42356,2.83442
2.4398,2.8443
2.45652,2.86954
2.47349,2.87467
2.48985,2.9022
2.50663,2.9285
2.5225,2.96122
2.53868,2.98157
2.55485,3.00367
2.57164,3.01795
2.58909,3.02497
2.60636,3.03149
2.62364,3.04602
2.64006,3.05707
2.65641,3.08008
2.67326,3.09924
2.69053,3.1178
2.70683,3.124
2.72337,3.15311
2.73973,3.17017
2.75578,3.1966
2.77226,3.21079
2.78923,3.23096
2.80668,3.23742
2.82258,3.25897
2.83906,3.26691
2.85548,3.28098
2.87257,3.29971
2.88948,3.31473
2.9065,3.32657
2.92335,3.34277
2.93989,3.36878
2.95655,3.38126
2.97236,3.39954
2.98872,3.41705
3.0052,3.43842
3.02229,3.44821
3.03932,3.47385
3.05659,3.48714
3.07362,3.49657
3.09022,3.5103
3.10658,3.52029
3.123,3.53058
3.13984,3.54669
3.15638,3.56372
3.17335,3.57889
3.18928,3.59598
3.20515,3.61053
3.22139,3.62259
3.2386,3.6431
3.25611,3.65294
3.27333,3.67265
3.29072,3.68231
