"Specimen width",6,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",24,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0679082
-5.42235e-05,0.0712194
-8.14884e-05,0.0760831
-8.14889e-05,0.0716466
5.41713e-05,0.0904302
0.00803356,0.0900209
0.0197981,0.108086
0.0299604,0.106988
0.042259,0.120904
0.0536381,0.146331
0.066074,0.151893
0.0763431,0.157206
0.0877567,0.162478
0.0992161,0.174029
0.111438,0.189715
0.124713,0.200793
0.138538,0.215975
0.153644,0.230578
0.164203,0.245471
0.174915,0.259234
0.185901,0.262496
0.197467,0.280745
0.209125,0.298567
0.220813,0.305587
0.233081,0.322066
0.245411,0.335372
0.258075,0.344138
0.271778,0.35726
0.28548,0.360577
0.299518,0.365871
0.314411,0.38296
0.328693,0.392818
0.343402,0.397121
0.358509,0.410686
0.373951,0.430339
0.390125,0.450572
0.406543,0.466106
0.423389,0.490215
0.440235,0.505595
0.456592,0.52354
0.472522,0.520518
0.489002,0.532878
0.505909,0.543101
0.52251,0.564799
0.539478,0.575338
0.555835,0.613607
0.572803,0.636953
0.589099,0.657033
0.606372,0.671804
0.623645,0.675344
0.640674,0.682508
0.657093,0.698987
0.673023,0.714948
0.689136,0.7263
0.705555,0.74693
0.722522,0.756482
0.739124,0.762632
0.75658,0.777784
0.773059,0.793683
0.789173,0.819104
0.805774,0.834439
0.822925,0.862394
0.839771,0.869001
0.856189,0.882276
0.873218,0.892001
0.88982,0.913119
0.906238,0.921542
0.922535,0.9397
0.939746,0.966861
0.956958,0.985629
0.973987,1.00223
0.990711,1.01889
1.00664,1.04001
1.02217,1.04653
1.03847,1.06108
1.0558,1.07735
1.07235,1.08913
1.08931,1.10491
1.10634,1.11582
1.12258,1.13346
1.13875,1.13162
1.15584,1.14984
1.17354,1.14981
1.1902,1.16526
1.20699,1.1819
1.22316,1.20741
1.23928,1.22563
1.25563,1.25126
1.27236,1.27677
1.2892,1.28189
1.30605,1.29431
1.32308,1.30155
1.33974,1.31485
1.3564,1.31583
1.37313,1.32558
1.39009,1.34474
1.40676,1.35611
1.42354,1.36835
1.43972,1.39032
1.45546,1.4086
1.472,1.41886
1.48922,1.44132
1.50624,1.45397
1.52315,1.47222
1.5403,1.489
1.5569,1.49848
1.57351,1.51495
1.5898,1.52822
1.60598,1.53516
1.62288,1.54908
1.6393,1.57245
1.6556,1.5815
1.67159,1.59642
1.68898,1.62401
1.70613,1.64547
1.72329,1.65671
1.73952,1.66842
1.75624,1.69455
1.77278,1.70372
1.78969,1.71015
1.80648,1.72537
1.8232,1.74066
1.84017,1.74387
1.85659,1.75436
1.87343,1.77197
1.88942,1.7872
1.90554,1.80795
1.92208,1.82037
1.9388,1.84344
1.95607,1.86114
1.9731,1.88495
1.99001,1.89944
2.00643,1.92648
2.02272,1.93651
2.03939,1.94911
2.0566,1.96077
2.0735,1.97282
2.09029,1.98948
2.10659,2.00349
2.12325,2.02522
2.13979,2.03225
2.15615,2.0527
2.17293,2.06254
2.19014,2.07586
2.20717,2.08364
2.2228,2.10238
2.23885,2.1073
2.25508,2.11376
2.27199,2.1372
2.28865,2.15447
2.30538,2.17058
2.32289,2.1834
2.3398,2.20525
2.3564,2.21827
2.37276,2.22718
2.38979,2.23809
2.40657,2.24953
2.42342,2.26873
2.43996,2.27673
2.45613,2.30053
2.47243,2.31387
2.48958,2.33859
2.50673,2.34626
2.52333,2.36176
2.54018,2.37127
2.55648,2.39385
2.57271,2.41924
2.58907,2.43713
2.60604,2.45715
2.62307,2.46493
2.63985,2.48269
2.65645,2.48191
2.67275,2.49452
2.68923,2.50502
2.70589,2.52342
2.72322,2.53234
2.74019,2.55474
2.75673,2.56966
2.77309,2.58104
2.78939,2.59656
2.80568,2.60268
2.82222,2.60939
2.83925,2.61719
2.8561,2.63197
2.87325,2.65425
2.88961,2.66466
2.90651,2.68255
2.92311,2.69588
2.93959,2.70803
2.95668,2.71221
2.97298,2.72911
2.98946,2.74266
3.00563,2.75716
3.02199,2.76696
3.03884,2.77406
3.05623,2.79082
3.07302,2.79841
3.09017,2.8181
3.10677,2.82854
3.12325,2.84724
3.13948,2.85027
3.15615,2.87054
3.17318,2.87303
3.18972,2.887
3.20668,2.90495
3.22286,2.92729
3.23928,2.93725
3.25569,2.94897
3.27236,2.96543
3.28963,2.97209
3.30672,2.98376
3.32381,2.99084
3.34011,3.01037
3.35622,3.01773
3.3727,3.02627
3.38948,3.04473
3.40633,3.05489
3.42299,3.07589
3.44002,3.09325
3.45583,3.11123
3.47194,3.11313
3.48885,3.12955
3.50624,3.13346
3.52321,3.14252
3.53994,3.16105
3.55611,3.18027
3.57277,3.20432
3.58937,3.22224
3.60646,3.24055
3.62349,3.2395
3.64028,3.2537
3.65706,3.26489
3.6726,3.28329
3.68846,3.29946
3.70549,3.32846
3.72325,3.34179
3.74028,3.35488
3.75646,3.36419
3.77275,3.37524
3.78893,3.38026
3.80553,3.40138
3.8225,3.41566
3.83953,3.42674
3.85619,3.4442
3.8734,3.46739
3.88945,3.47606
3.90581,3.48439
3.92223,3.48833
3.93932,3.50792
3.95647,3.51034
3.97325,3.51948
3.99022,3.53962
4.00634,3.55738
4.02263,3.56739
4.03899,3.58213
4.05611,3.59886
4.07308,3.60871
4.08992,3.62431
4.10665,3.62644
4.12294,3.65183
4.13942,3.65773
4.15602,3.66399
4.17311,3.67058
4.18972,3.68981
4.20668,3.69084
4.22286,3.70156
4.23928,3.7177
4.25557,3.73421
4.27254,3.75276
4.28987,3.75866
4.3066,3.78259
4.32338,3.79168
4.33937,3.81176
4.35585,3.81149
4.37227,3.84194
4.38942,3.84606
4.407,3.86743
4.42403,3.87878
4.44045,3.89461
4.45656,3.90351
4.4728,3.91219
4.48934,3.92772
4.50631,3.92888
4.52278,3.94219
4.53963,3.94375
4.55599,3.95911
4.57253,3.96999
4.58919,3.98282
4.6061,4.00352
4.62319,4.01455
4.63991,4.04794
4.65688,4.05485
4.67305,4.07566
4.68947,4.08019
4.70601,4.09875
4.72304,4.10316
4.74013,4.10738
4.75716,4.12176
4.77394,4.13879
4.78963,4.15747
4.80541,4.16553
4.82158,4.19166
4.83867,4.20527
4.8554,4.21025
4.87303,4.22636
4.88958,4.22934
4.90587,4.24121
4.92266,4.24014
4.93975,4.26291
4.95635,4.26539
4.97271,4.28234
4.99004,4.28666
5.00658,4.30985
5.02282,4.32242
5.03905,4.33705
5.05559,4.35652
5.07293,4.36793
5.08977,4.38399
5.10649,4.38122
5.1231,4.39157
5.13939,4.3966
5.15605,4.40794
5.17351,4.4109
5.19048,4.43782
5.2072,4.44917
5.22313,4.46257
5.23937,4.49009
5.25579,4.50042
5.27251,4.50499
5.28978,4.50962
5.30693,4.52762
5.32408,4.52747
5.33989,4.55567
5.35601,4.56534
5.37218,4.58432
5.38958,4.59393
5.40648,4.60566
5.42284,4.61448
5.43962,4.63206
5.45629,4.64665
5.47246,4.65037
5.48876,4.66414
5.50566,4.67955
5.52227,4.68626
5.53917,4.70135
5.55608,4.71808
5.57213,4.73095
5.58873,4.73457
5.60637,4.74589
5.62371,4.76188
5.64037,4.78074
5.65709,4.79683
5.67308,4.8144
5.68938,4.82843
5.70586,4.83127
5.72277,4.83473
5.73992,4.83644
5.7567,4.83586
5.77355,4.84657
5.7896,4.85784
5.80596,4.87468
5.82238,4.88881
5.83947,4.90038
5.85607,4.91127
