"Specimen width",6,"mm"
"Specimen thickness",5,"mm"
"Parallel specimen length",24,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.10351
-2.7163e-05,0.0995347
-5.43259e-05,0.0898205
-5.43259e-05,0.0826494
-8.14889e-05,0.121906
0.00423382,0.0997584
0.0155024,0.12537
0.0268626,0.164784
0.0384593,0.179327
0.0493541,0.178435
0.0609965,0.186484
0.0740428,0.201681
0.0850444,0.213164
0.0965648,0.232207
0.109016,0.252501
0.122505,0.27133
0.13639,0.289107
0.150886,0.315901
0.161628,0.33531
0.172126,0.353926
0.182685,0.376051
0.193733,0.393873
0.20475,0.406264
0.216743,0.42372
0.229438,0.446425
0.242439,0.461806
0.255256,0.470793
0.26847,0.494414
0.281929,0.501356
0.295112,0.519789
0.309272,0.538893
0.323219,0.556197
0.33802,0.571822
0.35395,0.607954
0.369575,0.624342
0.386116,0.651747
0.402046,0.681837
0.418281,0.705641
0.434822,0.713076
0.45124,0.737307
0.468208,0.752779
0.484809,0.776705
0.501716,0.794894
0.517829,0.819308
0.534126,0.840609
0.550727,0.862887
0.567695,0.892977
0.584785,0.914034
0.601631,0.951876
0.618476,0.969851
0.634712,0.98865
0.651069,0.998602
0.66761,1.02204
0.684639,1.03001
0.70124,1.05626
0.718635,1.07478
0.735481,1.1028
0.75196,1.12861
0.768196,1.15141
0.785224,1.18034
0.801948,1.20323
0.81855,1.222
0.834968,1.24928
0.850959,1.26433
0.867073,1.28587
0.883125,1.30784
0.899848,1.33043
0.917976,1.33551
0.934944,1.3659
0.951911,1.37634
0.968025,1.40277
0.984321,1.42102
1.0008,1.45337
1.01795,1.48053
1.0348,1.50217
1.05176,1.52139
1.06824,1.54458
1.0846,1.5646
1.10108,1.57089
1.11762,1.59158
1.13465,1.61218
1.15156,1.62231
1.16871,1.6441
1.18458,1.67792
1.20063,1.70325
1.21741,1.7204
1.23457,1.76349
1.25172,1.78796
1.26838,1.80957
1.28535,1.83502
1.30152,1.87726
1.31776,1.89056
1.33417,1.90735
1.35139,1.92988
1.36823,1.95075
1.38526,1.96064
1.4018,1.98043
1.41798,2.00893
1.43415,2.02828
1.45106,2.05489
1.46821,2.0834
1.48481,2.10818
1.50184,2.13485
1.51795,2.1545
1.53461,2.18508
1.55091,2.1971
1.56763,2.22063
1.58485,2.22924
1.60157,2.26391
1.6186,2.26558
1.63471,2.29902
1.65107,2.31593
1.66755,2.34071
1.6847,2.35332
1.70161,2.37803
1.71851,2.39732
1.73511,2.4196
1.75141,2.43883
1.76752,2.45512
1.78419,2.48411
1.80128,2.49027
1.81812,2.51142
1.83527,2.52535
1.85151,2.55715
1.86805,2.57447
1.88453,2.60541
1.90125,2.63221
1.91822,2.659
1.93507,2.6767
1.95179,2.70362
1.96748,2.72187
1.98389,2.74406
2.0008,2.76114
2.0182,2.77503
2.03504,2.77942
2.05189,2.79648
2.06849,2.80751
2.08472,2.83406
2.1009,2.85652
2.11774,2.88783
2.13489,2.91091
2.15162,2.93373
2.16871,2.95308
2.18476,2.96956
2.20112,2.99092
2.21741,2.99724
2.23426,3.02342
2.25141,3.04271
2.26832,3.071
2.28541,3.08208
2.30164,3.1201
2.31788,3.12731
2.3343,3.14635
2.35139,3.16954
2.36817,3.1942
2.38508,3.21721
2.40162,3.24169
2.41785,3.2683
2.43439,3.27965
2.451,3.30138
2.46815,3.30371
2.48475,3.32388
2.50153,3.33716
2.51746,3.35776
2.534,3.38852
2.55036,3.40512
2.56733,3.42966
2.58466,3.4526
2.60151,3.47299
2.61951,3.48797
2.63587,3.52167
2.65217,3.54083
2.66822,3.55368
2.68494,3.5773
2.70161,3.58451
2.71839,3.60374
2.73499,3.61863
2.75098,3.64829
2.76722,3.6522
2.78382,3.68119
2.80128,3.69849
2.81843,3.7154
2.83546,3.73291
2.85163,3.75806
2.86787,3.77669
2.88422,3.79738
2.90107,3.81881
2.91828,3.83287
2.93507,3.85424
2.95209,3.87395
2.96833,3.89598
2.98475,3.91503
3.00135,3.93523
3.01868,3.95665
3.0359,3.97322
3.05238,3.99569
3.06831,4.02291
3.08411,4.03988
3.10035,4.05993
3.11695,4.07927
3.13435,4.09514
3.15125,4.10866
3.16846,4.13704
3.18476,4.15108
3.20106,4.17635
3.2176,4.20675
3.2342,4.23494
3.25135,4.24874
3.26801,4.27071
3.28504,4.29445
3.30122,4.31368
3.31763,4.32827
3.3343,4.34707
3.35145,4.3741
3.36835,4.3798
3.38508,4.39072
3.40174,4.40793
3.41767,4.42875
3.43385,4.44178
3.45075,4.46265
3.46796,4.47541
3.48481,4.49622
3.50196,4.52753
3.51826,4.55286
3.53443,4.58002
3.55079,4.59909
3.56739,4.62211
3.58478,4.62319
3.60157,4.63089
3.61866,4.63933
3.63465,4.65703
3.65125,4.67276
3.66773,4.70364
3.68482,4.73428
3.70167,4.75864
3.71839,4.79709
3.73499,4.82871
3.75092,4.84174
3.76746,4.85236
3.78423,4.87225
3.80132,4.87509
3.81817,4.88106
3.8355,4.90542
3.85192,4.92409
3.86804,4.94723
3.88439,4.96377
3.90106,4.98479
3.91827,5.00408
3.93499,5.03326
3.95196,5.05004
3.96807,5.07403
3.98449,5.09518
4.00091,5.10711
4.01782,5.1231
4.03484,5.13607
4.05163,5.14922
4.06854,5.15465
4.08477,5.1795
4.10101,5.19195
4.11755,5.21639
4.13464,5.23855
4.15142,5.26424
4.16851,5.28466
4.18475,5.30361
4.20117,5.3272
4.21764,5.34756
4.23449,5.36086
4.25146,5.36947
4.2683,5.38772
4.28545,5.39936
4.30138,5.41917
4.31774,5.44834
4.33416,5.47263
4.35113,5.49967
4.36834,5.51647
4.38506,5.54626
4.40173,5.56121
4.41778,5.58111
4.43432,5.59652
4.45092,5.61785
4.46813,5.62766
4.48486,5.64921
4.50201,5.67026
4.51836,5.6775
4.53454,5.69775
4.55096,5.70685
4.5678,5.73035
4.58495,5.7407
4.60162,5.77793
4.61858,5.796
4.63451,5.81779
4.65093,5.8389
4.66717,5.86515
4.68432,5.88309
4.70153,5.8923
4.71832,5.91604
4.73516,5.9306
4.75128,5.95416
4.76769,5.96067
4.78436,5.98558
4.80157,6.00499
4.81841,6.01646
4.83526,6.03593
4.85149,6.05061
4.86779,6.07777
4.88409,6.08978
4.90081,6.11462
4.91808,6.12365
4.93487,6.15417
4.95202,6.16383
4.96819,6.18916
4.98467,6.20271
5.00103,6.22154
5.01812,6.25169
5.03503,6.27452
5.05175,6.29618
5.0686,6.32194
5.08453,6.3477
5.1007,6.35506
5.11712,6.37825
5.13482,6.40265
5.1516,6.40992
5.16857,6.42803
5.18505,6.43708
5.20141,6.46071
5.21752,6.46639
5.23419,6.4883
5.25146,6.50313
5.26818,6.52703
5.28527,6.53753
5.30138,6.55742
5.31762,6.58422
5.33379,6.59624
5.35082,6.61608
5.36804,6.62142
5.38561,6.64071
5.40276,6.64783
5.41869,6.67353
5.43441,6.69553
5.45077,6.72171
5.4678,6.74747
5.48434,6.77231
5.50112,6.78482
5.51815,6.79197
5.53512,6.81135
5.55148,6.81304
5.56802,6.82882
5.58505,6.8435
5.60171,6.86098
5.61874,6.88338
5.63503,6.91012
5.65127,6.92696
5.66763,6.9504
5.68453,6.97701
5.7015,6.98901
5.71786,7.01104
5.73501,7.02816
5.75167,7.04378
5.76846,7.05843
5.78451,7.07191
5.80093,7.08781
5.81796,7.10319
5.83486,7.13193
5.8514,7.15583
5.86746,7.19068
5.88323,7.20533
5.90044,7.23035
5.91796,7.24129
5.93487,7.25296
5.95171,7.26825
5.96789,7.29261
5.98437,7.30857
6.00079,7.3187
6.01769,7.35453
6.03503,7.36039
6.05169,7.37827
6.06854,7.39402
6.08459,7.42899
6.10101,7.43273
6.11761,7.45977
6.13458,7.47517
6.15148,7.5041
6.16839,7.5254
6.18487,7.54914
6.2011,7.56594
6.21758,7.587
6.23443,7.59566
6.25152,7.60137
6.26806,7.61217
6.28521,7.6235
6.30145,7.64376
6.31805,7.67342
6.33428,7.69323
6.35113,7.72936
6.36816,7.74526
6.38476,7.76055
6.40203,7.76992
6.41802,7.78652
6.4345,7.78658
6.45086,7.811
6.46801,7.82525
6.48486,7.83813
6.5017,7.86382
6.51824,7.8803
6.53448,7.90002
6.55096,7.91753
6.5678,7.94567
6.58495,7.95519
6.60162,7.97463
6.61865,7.99734
6.63488,8.01769
6.65112,8.03649
6.66753,8.04737
6.68438,8.07246
6.70159,8.08147
6.71813,8.10287
6.73516,8.107
6.75134,8.13206
6.76782,8.14018
6.7843,8.16188
6.80138,8.17909
6.81829,8.20454
6.8352,8.2336
6.85168,8.26094
6.86767,8.2801
6.88421,8.2997
6.90093,8.31505
6.91821,8.33293
6.93487,8.34398
6.95196,8.36366
6.96813,8.37189
6.98461,8.40045
7.00103,8.40819
7.01757,8.43267
7.03491,8.44671
7.05163,8.47546
7.06866,8.48232
7.08465,8.50295
7.10107,8.51961
7.11767,8.5342
7.13482,8.55358
7.15179,8.56679
7.16857,8.59457
7.18505,8.60931
7.20117,8.63006
7.21752,8.64054
7.23419,8.66334
7.25146,8.66456
7.2683,8.68574
7.28545,8.70753
7.30157,8.72468
7.31786,8.7472
7.33434,8.75852
7.35113,8.7754
7.3681,8.78596
7.3847,8.80198
7.40185,8.81559
7.41796,8.83799
7.43432,8.85312
7.45074,8.86905
7.46801,8.89365
7.4851,8.91153
7.50207,8.94113
7.51855,8.95404
7.53454,8.97351
7.55084,8.98012
7.5675,9.00331
7.58471,9.01174
7.60143,9.03286
7.61846,9.05941
7.6347,9.07444
7.65124,9.09574
7.66766,9.11899
7.6845,9.14316
7.70159,9.16239
7.71844,9.19657
7.73534,9.20825
7.75128,9.22564
7.76782,9.2406
7.78442,9.24914
7.80145,9.26489
7.81823,9.27497
7.83502,9.29817
7.8518,9.30607
7.86804,9.32402
7.88451,9.34483
7.90118,9.37577
7.91815,9.39613
7.93499,9.42323
7.95202,9.45399
7.9683,9.46571
7.98453,9.47955
8.00101,9.49249
8.0178,9.51452
8.03507,9.52364
8.05179,9.54155
8.06858,9.56908
8.08451,9.58211
8.10086,9.5945
8.11722,9.61232
8.13419,9.64156
8.15073,9.64861
8.16776,9.67656
8.18576,9.69707
8.20224,9.72057
8.21824,9.72472
8.23496,9.74758
8.25187,9.76277
8.26822,9.77577
8.28513,9.79189
8.30185,9.82173
8.31821,9.84835
8.33438,9.85875
8.35135,9.88884
8.36869,9.91155
8.38535,9.93694
8.40183,9.94753
8.41776,9.96755
8.43436,9.98378
8.45127,10.0003
8.46762,10.0039
8.48435,10.0139
8.50138,10.0446
8.51828,10.0578
8.53452,10.081
8.55075,10.0994
8.5676,10.1243
8.58518,10.1389
8.60215,10.1662
8.61875,10.1807
8.63474,10.1952
8.65104,10.2179
8.66751,10.2301
8.68424,10.2423
8.70127,10.2616
8.71775,10.2834
8.73484,10.2967
8.75138,10.3166
8.76798,10.3261
8.78421,10.3304
8.80124,10.3539
8.81827,10.3684
8.83512,10.3889
8.85202,10.4142
8.86832,10.4424
8.88486,10.4445
8.90128,10.4551
8.918,10.4652
8.93473,10.475
8.95169,10.4935
8.96836,10.5093
8.9849,10.5401
9.00119,10.5545
9.01804,10.5827
9.03507,10.5908
9.05149,10.6255
9.06827,10.6424
9.08408,10.6668
9.10044,10.6852
9.11704,10.7029
9.13419,10.7132
9.15213,10.7187
9.16916,10.7435
9.18558,10.7554
9.20145,10.7771
9.21756,10.8023
9.2341,10.8287
9.25107,10.8493
9.26761,10.87
9.28464,10.8942
9.30173,10.8997
9.31803,10.9231
9.33432,10.9294
9.35105,10.9477
9.36838,10.9592
9.38517,10.9858
9.40219,10.9948
9.41825,11.0203
9.43442,11.0407
9.45084,11.0544
9.46775,11.0811
9.48459,11.1033
9.50162,11.1231
9.51847,11.1411
9.5347,11.1769
9.55136,11.1825
9.56809,11.2022
9.58493,11.2146
9.60117,11.2289
9.61765,11.2469
9.63395,11.2631
9.65036,11.2934
9.6677,11.3155
9.68418,11.344
9.70133,11.3553
9.71817,11.3843
9.73526,11.4009
9.75113,11.4273
9.76767,11.4494
9.78397,11.4655
9.80112,11.4971
9.81821,11.5147
9.83512,11.5328
9.85202,11.5408
9.86795,11.5683
9.88443,11.5754
9.90097,11.5908
9.918,11.6083
9.93491,11.621
9.95176,11.6446
9.9683,11.6619
9.98447,11.682
10.0009,11.6963
10.0176,11.7327
10.0347,11.7436
10.0515,11.7582
10.0685,11.7717
10.0845,11.7885
10.101,11.802
10.1172,11.8124
10.1345,11.8405
10.152,11.8595
10.169,11.8823
10.1858,11.8971
10.2018,11.9248
10.2181,11.9402
10.2346,11.9593
10.2514,11.9718
10.2683,11.9886
10.285,12.0083
10.3015,12.0152
10.3177,12.0364
10.334,12.0593
10.3512,12.0791
10.3686,12.0956
10.3854,12.1241
10.4025,12.1399
10.4185,12.1514
10.4344,12.1673
10.4508,12.1855
10.4675,12.2015
10.4843,12.2083
10.5015,12.2205
10.5185,12.2318
10.5347,12.2467
10.551,12.2642
10.5682,12.2944
10.5846,12.3192
10.6012,12.3437
10.618,12.367
10.6348,12.3853
10.6512,12.399
10.6676,12.408
10.6843,12.4252
10.7015,12.4276
10.7181,12.4407
10.7351,12.4626
10.7514,12.486
10.7676,12.5115
10.7843,12.5319
10.8011,12.5467
10.8182,12.5498
10.8349,12.577
10.8518,12.5889
10.8678,12.612
10.8844,12.6318
10.9012,12.6612
10.9182,12.6732
10.9346,12.674
10.9512,12.6871
10.9684,12.7101
10.9849,12.7333
11.0015,12.749
11.0182,12.7818
11.0353,12.8104
11.0519,12.8273
11.069,12.8398
11.0849,12.859
11.1009,12.8898
11.1173,12.8983
11.134,12.9229
11.1513,12.9377
11.1681,12.9594
11.1853,12.9611
11.2017,12.9795
11.2183,12.9878
11.2347,13.0019
11.2514,13.0192
11.2683,13.0428
11.2849,13.0759
11.3015,13.0987
11.3175,13.1293
11.3341,13.1456
11.3513,13.1507
11.3691,13.1611
11.3862,13.1703
11.4024,13.1793
11.4182,13.2007
11.4339,13.2268
11.4499,13.2436
11.4668,13.2678
11.4843,13.2933
11.501,13.3122
11.5176,13.3381
11.5333,13.3527
11.5507,13.3751
11.5685,13.3892
11.586,13.4138
11.6026,13.4286
11.6189,13.4439
11.6349,13.4588
11.651,13.4764
11.6675,13.489
11.6844,13.5023
11.7014,13.5289
11.7183,13.5477
