Angular Frequency,G',G'
0.628319,525693,G'
0.995816,409520,G'
1.57827,397807,G'
2.50139,346449,G'
3.96441,231227,G'
6.28319,101864,G'
9.95809,32938.8,G'
15.7828,55511.5,G'
25.0137,-57195.7,G'
39.6438,-863422,G'
62.8319,-1584260,G'
0.628319,48258.1,G''
0.995816,63212.4,G''
1.57827,73071.6,G''
2.50139,96119.2,G''
3.96441,126977,G''
6.28319,101270,G''
9.95809,106540,G''
15.7828,136445,G''
25.0137,219010,G''
39.6438,88420.8,G''
62.8319,248739,G''
